Department	Zip Code	Cheeses	French URL	English URL	Image	Milk
Ain	1000	Bleu de Gex	http://fr.wikipedia.org/wiki/Bleu_de_Gex	http://en.wikipedia.org/wiki/Bleu_de_Gex	http://upload.wikimedia.org/wikipedia/commons/thumb/a/a8/Bleu_de_Gex.jpg/280px-Bleu_de_Gex.jpg	Cow
Ain	1000	Bresse Bleu	http://fr.wikipedia.org/wiki/Bresse_Bleu	http://en.wikipedia.org/wiki/Bleu_de_Bresse	http://upload.wikimedia.org/wikipedia/commons/thumb/4/46/Bleu_de_Bresse_cheese.jpg/280px-Bleu_de_Bresse_cheese.jpg	Cow
Ain	1000	Carré Frais	http://fr.wikipedia.org/wiki/Carr%C3%A9_Frais		http://upload.wikimedia.org/wikipedia/commons/thumb/e/eb/Carre-frais.jpg/280px-Carre-frais.jpg	Cow
Ain	1000	Chevret	http://fr.wikipedia.org/wiki/Chevret			Goat
Ain	1000	Chevret du Haut-Jura	http://fr.wikipedia.org/wiki/Chevret_du_Haut-Jura		http://upload.wikimedia.org/wikipedia/commons/thumb/2/2b/Chevret_du_haut_jura.JPG/280px-Chevret_du_haut_jura.JPG	Cow
Ain	1000	Clon	http://fr.wikipedia.org/wiki/Clon			Cow
Ain	1000	Comté  	http://fr.wikipedia.org/wiki/Comt%C3%A9_%28fromage%29	http://en.wikipedia.org/wiki/Comt%C3%A9_cheese	http://upload.wikimedia.org/wikipedia/commons/thumb/e/ef/Comt%C3%A9_02.jpg/280px-Comt%C3%A9_02.jpg	Cow
Ain	1000	Emmental de Savoie	http://fr.wikipedia.org/wiki/Emmental_de_Savoie		http://upload.wikimedia.org/wikipedia/commons/thumb/c/c0/Emmental_de_Savoie_02.jpg/280px-Emmental_de_Savoie_02.jpg	Cow
Ain	1000	Gruyère français	http://fr.wikipedia.org/wiki/Gruy%C3%A8re_fran%C3%A7ais		http://upload.wikimedia.org/wikipedia/commons/thumb/b/b6/Meules_gruyere.JPG/280px-Meules_gruyere.JPG	Cow
Ain	1000	Morbier  	http://fr.wikipedia.org/wiki/Morbier_%28fromage%29	http://en.wikipedia.org/wiki/Morbier_cheese	http://upload.wikimedia.org/wikipedia/commons/thumb/8/87/Morbier_%28fromage%29_01.jpg/280px-Morbier_%28fromage%29_01.jpg	Cow
Ain	1000	Pourri bressan	http://fr.wikipedia.org/wiki/Pourri_bressan		http://upload.wikimedia.org/wikipedia/commons/thumb/5/55/Pourri_bressan.JPG/220px-Pourri_bressan.JPG	Cow
Ain	1000	Ramequin  	http://fr.wikipedia.org/wiki/Ramequin_%28fromage%29		http://upload.wikimedia.org/wikipedia/commons/thumb/2/2b/Ramequin0.JPG/280px-Ramequin0.JPG	Cow
Ain	1000	Tracle	http://fr.wikipedia.org/wiki/Tracle		http://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/Tracle_du_bugey.jpg/220px-Tracle_du_bugey.jpg	Cow
Aisne	2000	Belle des champs	http://fr.wikipedia.org/wiki/Belle_des_champs			Cow
Aisne	2000	Dauphin  	http://fr.wikipedia.org/wiki/Dauphin_%28fromage%29			Cow
Allier	3000	Bessay  	http://fr.wikipedia.org/wiki/Bessay_%28fromage%29			Cow
Allier	3000	Chambérat  	http://fr.wikipedia.org/wiki/Chamb%C3%A9rat_%28fromage%29			Cow
Allier	3000	Charolais  	http://fr.wikipedia.org/wiki/Charolais_%28fromage%29			Goat
Allier	3000	Grand tomachon	http://fr.wikipedia.org/wiki/Grand_tomachon			Cow
Allier	3000	Le Délice du Chalet	http://fr.wikipedia.org/wiki/Le_D%C3%A9lice_du_Chalet			Cow
Ardèche	7000	Chèvreton	http://fr.wikipedia.org/wiki/Ch%C3%A8vreton			Goat
Ardèche	7000	Le Coucouron	http://fr.wikipedia.org/wiki/Le_Coucouron			Cow
Ardèche	7000	Picodon	http://fr.wikipedia.org/wiki/Picodon	http://en.wikipedia.org/wiki/Picodon	http://upload.wikimedia.org/wikipedia/commons/thumb/7/74/Wikicheese_-_Picodon_-_20150417_-_003.jpg/280px-Wikicheese_-_Picodon_-_20150417_-_003.jpg	Goat
Ardèche	7000	Rogeret des Cévennes	http://fr.wikipedia.org/wiki/Rogeret_des_C%C3%A9vennes			Goat
Ardèche	7000	Saint-félicien	http://fr.wikipedia.org/wiki/Saint-f%C3%A9licien_%28fromage_de_l%27Ard%C3%A8che%29			Cow
Ardennes	8000	Rocroi  	http://fr.wikipedia.org/wiki/Rocroi_%28fromage%29			Cow
Ariège	9000	Bethmale  	http://fr.wikipedia.org/wiki/Bethmale_%28fromage%29		http://upload.wikimedia.org/wikipedia/commons/thumb/6/6b/Bethmale_affin%C3%A9.jpg/280px-Bethmale_affin%C3%A9.jpg	Cow
Ariège	9000	Le Moulis	http://fr.wikipedia.org/wiki/Le_Moulis			Sheep
Ariège	9000	Le Rogallais	http://fr.wikipedia.org/wiki/Le_Rogallais		http://upload.wikimedia.org/wikipedia/commons/thumb/0/09/Lerogallais.jpg/280px-Lerogallais.jpg	Cow
Ariège	9000	Montségur  	http://fr.wikipedia.org/wiki/Monts%C3%A9gur_%28marque%29			Cow
Ariège	9000	Tomme des Pyrénées	http://fr.wikipedia.org/wiki/Tomme_des_Pyr%C3%A9n%C3%A9es	http://en.wikipedia.org/wiki/Tomme_des_Pyr%C3%A9n%C3%A9es	http://upload.wikimedia.org/wikipedia/commons/thumb/1/13/Tomme_noire_des_Pyrenees.jpg/280px-Tomme_noire_des_Pyrenees.jpg	Cow
Aube	10000	Barberey  	http://fr.wikipedia.org/wiki/Barberey_%28fromage%29			Cow
Aube	10000	Brie de Meaux	http://fr.wikipedia.org/wiki/Brie_de_Meaux	http://en.wikipedia.org/wiki/Brie_de_Meaux	http://upload.wikimedia.org/wikipedia/commons/thumb/8/88/Brie_01.jpg/280px-Brie_01.jpg	Cow
Aube	10000	Brie de Melun	http://fr.wikipedia.org/wiki/Brie_de_Melun		http://upload.wikimedia.org/wikipedia/commons/thumb/6/65/Brie_de_Melun.jpg/280px-Brie_de_Melun.jpg	Cow
Aube	10000	Chaource  	http://fr.wikipedia.org/wiki/Chaource_%28fromage%29	http://en.wikipedia.org/wiki/Chaource_cheese	http://upload.wikimedia.org/wikipedia/commons/thumb/4/4f/Chaource_%28fromage%29_01.jpg/280px-Chaource_%28fromage%29_01.jpg	Cow
Aube	10000	Soumaintrain  	http://fr.wikipedia.org/wiki/Soumaintrain_%28fromage%29		http://upload.wikimedia.org/wikipedia/commons/thumb/0/0c/Soumaintrain.jpg/280px-Soumaintrain.jpg	Cow
Aude	11000	Pélardon	http://fr.wikipedia.org/wiki/P%C3%A9lardon	http://en.wikipedia.org/wiki/P%C3%A9lardon	http://upload.wikimedia.org/wikipedia/commons/thumb/8/8b/P%C3%A9lardon_01.jpg/280px-P%C3%A9lardon_01.jpg	Goat
